Strain,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
11 drops 17412 t314c328 i sweet,1.10,0,1.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oil syringe 20221,23.87,0,23.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral drops 16310,1.05,0,1.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral syringe 17837,25.28,0.67,26.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral syringe 18539,25.95,0,26.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 drops 18830 t304c290,1.09,0,1.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g live rosin b scout i 00612,1.13,87.21,0,0,0.15,1.13,0.76,0.24,3.16,0,0.11,0.25,0,4.16,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
agl 7g select grind animal face i 00613,0.55,21.10,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 drops 14231,1.11,0,1.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral spray t127c130 i peppermint 17272,2.73,0,2.80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral spray t129c130 i peppermint 16409,2.74,0,2.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 oral syringe 17319,25.37,0.47,25.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 7g select grind slapz h 00608,0.51,25.61,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl micro tablets 00594,2.09,0.070,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf 201 oral syringe 1ml c 00620,0.70,0,14.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf ground flower 35g a tartz h 00639,0.93,28.84,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360x c364t304 13630,32.24,0.06,38.69,<0.10,<0.10,<0.10,0.21,<0.10,<0.10,<0.10,<0.10,0.14,0.46,0.66,<0.10,<0.10,4.50,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,0.20
curaleaf ground flower 35g montana silvertip h 00619,0.46,20.43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf ground flower 35g slapz i 00641,3.76,12.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf ground flower white hot guava h 00640,0.21,15.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf whole flower 35g carmelita i 00624,0.89,21.84,0,0,0,0,0,0,0,0,0,0,0,2.57,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf whole flower 35g carmelita i 00650,0.64,28.42,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf whole flower 35g motor breath 15 i 00621,0.70,27.48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earl baker  whole flower  frmla 1 031,0.84,30.25,0,0,0.07,0.28,0.36,0.12,0.76,0,0.18,0,0,1.09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earl baker  whole flower  mac n jack 032,0.75,29.4,0,0,0.08,0.30,0.36,0.14,0.34,0,0.10,0,0,1.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,
find whole flower 7g mystery morning s 00622,1.10,21.41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lighthousegrandaddy purple live resin1gstick00132,88.47,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,1.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mars sunset infused shorties 4836,21.43,20.27,0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal moby bho live resin dablicator  med t7454 h 25599,58.72,18.04,0,0,0,3.37,0,0,0,0,0,0,2.25,4.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rythm 35g animal face i 00610,0.61,31.71,0,0.48,0.03,0.71,0.61,0.04,0.43,0,0.29,0.16,0,1.20,0,0,0,0,0.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
rythm 35g jack herer s 00609,0.86,22.50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rythm 35g small flower  slapz h 00611,0.44,29.77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rythm 300mg pen animal face i 00614,80.11,0,0,1.23,0.04,0.52,0.84,0.09,0.64,0,0.64,0.28,2.36,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
amarena flower t2301 h 21354,0.23,25.97,0,0,0.03,0.01,0.29,0.04,0.21,0,0.21,0.09,0,1.11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select all in one 3g pc s 00372,82.78,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,1.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select elite all in one 3g cherry bmb s 00608,90.74,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,1.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select elite cartridge 1g blue dream i 00610,91.24,0,0,0,0,1.36,0,0,0,0,0,0,2.86,0,0,1.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select elite cartridge 1g cherry lime a s 00595,86.38,0,0,0,0,0,1.28,0,1.24,0,0,0,2.87,0,0,1.21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select elite cartridge 1g cherry lime a s 00604,87.16,0,0,0,0,0,1.13,0,1.23,0,0,0,3.34,0,0,1.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360x t721c18 18252,75.86,0,1.92,0,0,0.01,0.48,0,0.04,0.03,0.19,0.16,5.73,0,0,0,2.16,2.10,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.03
360x t732c1 14838,73.8,0.12,0.15,<0.01,<0.01,<0.01,0.97,<0.01,0.11,<0.01,0.36,0.38,1.16,<0.01,<0.01,0.76,0.22,0.62,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.16
select elite cartridge 1g la kush c h 00609,89.16,0,0,0,0,0,0,0,1.490,0,0,0,3.08,0,0,1.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select elite cartridge 1g nyc diesel h 00597,86.06,0,0,0,0,0,0,0,1.21,0,0,0,3.26,0,0,1.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select elite cartridge 1g og kush i 00596,87.24,0,0,0,0,0,0,0,1.28,0,0,0,3.29,0,0,1.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360x t798c2 14901,76.5,0.16,0.16,<0.01,<0.01,<0.01,1.27,<0.01,0.29,<0.01,0.51,0.47,1.20,<0.01,<0.01,0.77,0.33,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soundview blood orange sativa gummies t94 s 00070,0.13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360x t833c1 18412,83.29,0,0,0.10,0,0,0,0,0,0,0,0,2.13,0,0,0,1.59,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allhours dantes wedding rosin voca pro 4846,83.53,0,0,0,0,0,1.35,0,0,0,0,0,1.58,0,0,0.93,0,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360x11 18251,45.46,0,41.22,0,0,0.01,0.66,0,0.03,0.02,0.13,0.25,2.18,0,0,0,1.16,1.37,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.03
51 summit cbd peak slim 17226,12.67,0.84,66.36,0.56,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51 summit cbd pure vape 17227,12.67,0.84,66.36,0.56,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1 haze flower h 25739,1.07,21.50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appz bnnz flower t1877 h 00418,1.14,20.10,0,0,0.24,1.11,0.27,0.06,0.05,0.11,0.12,0.09,0,0.52,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appz bnnz flower t1953 h 00417,1.13,20.98,0,0,0.21,1.03,0.22,0.06,0.05,0.10,0.09,0.08,0,0.59,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brix cannabis soap 1g pre roll s 00202,0.47,26.77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capy 05g lt vape t428 h 00420,85.62,0,0,0,0.09,0.46,0.58,0.19,1.81,0,0.71,0.15,2.66,0,0,0.79,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capy lil rickys t2810 h 00425,0.79,31.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chew blueberry snap gummies i 00423,0.187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf preroll 5 pack 2g indica princess i 00623,0.35,22.42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf whole flower 35g bc i 00635,0.67,28.54,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf whole flower 35g pr h 00625,0.44,28.22,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curaleaf whole flower 35g true og i 00626,0.58,19.63,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emerald kush flower s 25740,0.46,23.39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acerbadex flower  med t3332 s 18615,0.66,37.24,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acerbadex flower 2g t33 s 15398,0.06,33.29,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acerbadex flower sc  med t3332 s 18616,0.66,37.24,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acerbadex live rosin t7609 s 18933,1.32,85.26,0,0.30,0,0,0,0,1.08,0,0,0,1.19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 10 pack blueberry thc cbn gummies 19822,0.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 10 pack blueberry thc cbn gummies 20343,0.13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 10 pack blueberry thc cbn gummies 20359,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 10 pack blueberry thc cbn gummies 20415,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 10 pack strawberry thc cbd gummies 20225,0.15,0,0.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 10 pack strawberry thc cbd gummies 20418,0.13,0,0.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagoti t880c1 40000044,3.12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 10 pack tangerine thc cbd gummies 20281,0.15,0,0.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 10 pack tangerine thc cbd gummies 20312,0.16,0,0.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 10 pack watermelon thc gummies 19762,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 10 pack watermelon thc gummies 20374,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol tu 2438 19140,0.96,26.71,0,0.17,0.03,0.22,1.06,0.07,0.36,0.01,0,0.33,0.18,0.44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bsc 3473 20394,0.85,38.63,0,0.07,0.04,0.13,0.34,0.08,0.23,0,0.03,0.12,0.01,1.00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol x 2280 19678,0.56,25.36,0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g syringe indicol w 8192 19809,81.92,0,0.55,0,0.08,0.36,1.60,0.14,0.94,0,0.86,0.68,2.66,0.11,0,0,1.22,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g indicol fh 8143 full spectrum syringe 19634,81.43,0,0.50,0,0.04,0.06,1.91,0.08,0.66,0.11,1.19,0.81,2.00,0,0,0,1.08,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll afternoon delight 4 3160 20341,1.10,34.78,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll dark crystal i 20749,1.13,21.80,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hippie haze 2 s 20654,0.46,26.06,0,0.30,0.05,0.20,0.17,0.06,0.03,0.23,0.04,0.05,0.07,1.45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol a 2972 19142,0.74,33.04,0,0.16,0.05,0.14,0.68,0.09,0.36,0.01,0.20,0.25,0.24,2.43,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol ad 3356 20255,0.32,37.90,0,0.04,0.03,0.12,0.30,0.04,0.21,0,0.25,0.12,0.09,1.30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol ad 3652 19143,1.01,40.49,0,0.14,0.05,0.23,0.49,0.08,0.40,0.01,0.24,0.15,0.37,1.79,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol alm 20751,0.29,25.25,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol bc 2035 19144,0.67,22.44,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol bc 21700,0.57,26.95,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol bc 2477 19673,0.67,27.48,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol by 21656,0,21.34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol cc 20705,0.20,23.20,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol cm 20665,0.88,25.96,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol cm 2650 20258,1.09,28.97,0,0.10,0.11,0.14,0.27,0.12,0.54,0.67,0.09,0.12,0.04,1.27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol cts 2618 19760,0.56,29.21,0,0.09,0.03,0.29,0.18,0.03,0.15,0.02,0.15,0.08,0.52,2.50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol cts 2961 19087,1.27,32.32,0,0.14,0.02,0.42,0.18,0.04,0.15,0.01,0.16,0.06,0.27,3.42,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol d 1933 19135,1.45,20.39,0,0.14,0.03,0.31,1.02,0.08,0.40,0.01,0.28,0.30,0.16,0.26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol fg 2635 19182,1.50,28.34,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol fg 2778 19145,1.77,29.66,0,0.12,0.48,0.10,0.28,0.29,1.08,0.13,0.35,0.09,0.17,0.28,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol gh 2316 19139,0.47,25.87,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol gp 2073 20250,0.94,22.57,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol hi 2651 19679,1.27,28.78,0,0.10,0.03,0.44,0.23,0.05,0.20,0.01,0.12,0.07,0.40,1.69,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol ij 3103 19146,0.83,34.43,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol lm 20750,0.01,25.05,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol lm 20754,0.12,26.43,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol lm 2497 20367,0.61,27.78,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol mn 2854 19161,1.82,30.47,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol no 2209 20247,0.47,24.65,0,0.06,0.08,0.02,0.24,0.04,0.11,0.09,0.01,0.10,0.24,2.32,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol no 2332 19162,0.73,25.76,0,0.61,,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol no 2601 20412,0.77,28.78,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol om 20758,1.45,31.17,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol op 2173 19163,0.97,23.67,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol qr 2516 19136,0.76,27.82,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol sgc 20756,0.22,28.73,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol shb 2863 20384,1.60,30.82,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol st 2186 19164,0.74,24.08,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol t 2369 19165,0.99,25.88,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol t 2396 20227,0.34,26.93,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol tu 2323 19166,1.06,25.28,0,0.16,0.03,0.21,1.01,0.06,0.31,0,0,0.31,0.14,0.47,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol uv 2288 19167,0.77,25.21,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol vw 1723 19168,1.44,18.00,0,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll hybridol xy 2215 19169,0.72,24.43,0,0.14,0.02,0.14,0.26,0.04,0.12,0,0.12,0.09,0.18,1.46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol ab 2404 20257,0.47,26.88,0,0.09,0.02,0.09,0.53,0.04,0.16,0.02,0.10,0.18,0.48,1.62,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol ac 2085 19735,0.42,23.30,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol ac 2282 19170,0.89,25.01,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol b 1739 20269,0.93,18.77,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bbf 21752,0.36,30.17,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bbf 3095 19171,0.93,34.23,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bc 20830,0.60,28.07,0,0.07,0.03,0.14,1.24,0.05,0.30,0,0.23,0.27,<LOQ,0.54,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bc 21629,0.60,28.07,0,0.07,0.03,0.14,1.24,0.05,0.30,0,0.23,0.27,<LOQ,0.54,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bc 2286 19134,0.98,24.95,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bc 2529 19172,1.01,27.69,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bd 2442 19173,1.94,25.63,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bfo 2708 19174,0.80,29.97,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bk 21662,0.98,20.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bsc 20732,0.07,37.91,0,0.16,0.07,0.20,0.31,0.12,0.69,0,0.04,0.11,0.15,1.88,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bsc 21744,0.54,37.42,0,<LOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bsc 3457 19175,0.71,38.61,0,0.18,0.05,0.10,0.26,0.08,0.46,0,0.01,0.10,0.26,2.42,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol bsc 3822 20253,0.24,43.31,0,0.14,0.07,0.22,0.34,0.11,0.62,0,0.04,0.15,0.54,1.97,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agl 1g pre roll indicol csk 3097 19630,1.46,33.65,0,0.10,0.03,0.31,0.39,0.07,0.24,0.01,0.20,0.12,0.36,1.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
