Strain,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
sativum blueberry coconut sugar cookies multi pack ndc 8767,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum blueberry coconut sugar cookies multi pack ndc 9891,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum blueberry coconut sugar cookies ndc 7734,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum carmelita ndc 6757,0.15,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum carmelita ndc 8124,0.14,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum french toast cookie ndc 11220,0.20,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum french toast cookie ndc 13233,0.18,<0.10,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum french toast cookie ndc 5707,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum french toast cookie ndc 7721,0.18,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum french toast cookie ndc 8764,0.18,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum french toast cookie ndc 9892,0.17,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum honey ndc 11219,0.12,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum honey ndc 12298,0.12,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum honey ndc 5291,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum honey ndc 6768,0.13,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum honey ndc 8123,0.12,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum honey ndc 8660,0.12,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum honey ndc 9151,0.12,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum honey ndc 9179,0.12,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum honey ndc 9953,0.12,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob carmelita ndc 3308,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob carmelita ndc 3787,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob carmelita ndc 5211,0.12,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob cookies and cream sandwich cookie v1,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob cookies and cream sandwich cookie v2,0.3,<0.1,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob french toast cookie ndc 3329,0.2,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob french toast cookie ndc 4001,0.2,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob french toast cookie ndc 5212,0.19,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob honey ndc 3150,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob honey ndc 3373,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob honey ndc 4007,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob honey ndc 5097,0.13,<0.10,<0.10,<0.10,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob honey v1,71.9,0.1,0.1,0.1,<0.1,<0.1,0.3,<0.1,0.1,<0.1,0.1,0.1,1.4,0.5,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob honey v2,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob honey v3,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob peanut butter chip cookie ndc 3748,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob peanut butter chip cookie ndc 4000,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum pistachio granola bite ndc 6759,0.15,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob peanut butter cookie ndc 3148,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob peanut butter cookie ndc 3337,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob peanut butter cookie v1,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob peanut butter cookie v2,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob peanut butter cookie v3,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob pistachio granola bite ndc 3790,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob pistachio granola bite ndc 5213,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob pistachio granola bites ndc 3371,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob pistachio granola bites ndc 3147,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob pistachio granola bites ndc 3155,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob pistachio granola bites ndc 3991,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob pistachio granola bites ndc 5214,<0.10,<0.10,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob pistachio granola bites v1,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob pistachio granola bites v2,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob pistachio granola bites ndc 3372,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob red velvet bownies ndc 3789,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob red velvet brownie ndc 3146,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob red velvet brownie ndc 3157,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob red velvet brownie ndc 3338,0.2,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob red velvet brownie ndc 3339,0.2,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob red velvet brownie ndc 3788,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob red velvet brownie v1,71.9,0.1,0.1,0.1,<0.1,<0.1,0.3,<0.1,0.1,<0.1,0.1,0.1,1.4,0.5,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob red velvet brownie v2,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob red velvet brownie v3,0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,,<0.1,<0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob slips ndc 3327,13.5,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,<0.1,<0.1,<0.1,0.1,<0.1,0.2,0.1,,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob slips ndc 3767,14.5,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.3,<0.1,,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob slips ndc 4321,15.0,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.8,<0.1,,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sativum ob slips ndc3172,13.3,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.3,<0.1,,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
